Mpack,MATRIX,Globalmappingefficiency:,efficiency:,occupancywobuf:,efficiencywobuf:,Netlistclbblocks:,Finalcriticalpath:,Totallogicdelay:,totalnetdelay:,Totalroutingarea:,Totalusedlogicblockarea:,PBTypes,Routing,Total Power,Total Dynamic Power, Total Leakage Power
add16_new,100,376/400,0.940000,243/400,0.607500,10,8.10011,5.04933e-09,3.05078e-09,108096,145200,0.002689,0.0001979,0.002887,0.0028861339,8.66099999999905e-07
alu4,606,2157/2424,0.889851,1462/2424,0.603135,63,6.7534,3.17697e-09,3.57644e-09,710449,914760,0.01206,0.002159,0.01422,0.014214312,5.68799999999937e-06
C1355,175,619/700,0.884286,431/700,0.615714,18,8.80093,3.80109e-09,4.99984e-09,165282,261360,0.004003,0.0003354,0.00434,0.004338698,1.30199999999986e-06
C3540,428,1535/1712,0.896612,1029/1712,0.601051,43,12.4319,7.5458e-09,4.88605e-09,416640,624360,0.00655,0.0006986,0.00725,0.007246375,3.6249999999996e-06
C5315,636,2225/2544,0.874607,1521/2544,0.597877,64,10.0126,5.36139e-09,4.65118e-09,650617,929280,0.01209,0.001351,0.01344,0.013434624,5.37599999999941e-06
C6288,862,3216/3448,0.932715,2165/3448,0.627900,87,27.2811,1.84679e-08,8.81316e-09,630073,1.26324e+06,0.009835,0.0004681,0.0103,0.01029485,5.14999999999943e-06
dalu,285,1010/1140,0.885965,664/1140,0.582456,31,8.05149,4.42521e-09,3.62628e-09,309696,450120,0.006079,0.0007786,0.006859,0.0068569423,2.05769999999977e-06
des,1237,4387/4948,0.886621,3068/4948,0.620049,125,7.8734,3.80109e-09,4.07231e-09,1.78086e+06,1.815e+06,0.0335,0.004501,0.03801,0.037998597,1.14029999999987e-05
ex5p,364,1365/1456,0.937500,873/1456,0.599588,39,7.39179,4.11315e-09,3.27864e-09,547590,566280,0.008714,0.001359,0.01007,0.010066979,3.02099999999967e-06
i10,771,2786/3084,0.903372,1836/3084,0.595331,78,16.7546,9.1061e-09,7.64849e-09,1.38197e+06,1.13256e+06,0.02287,0.001463,0.02434,0.024332698,7.3019999999992e-06
i8,325,1097/1300,0.843846,826/1300,0.635385,34,5.73787,3.17697e-09,2.5609e-09,356100,493680,0.007536,0.001205,0.008743,0.0087403771,2.62289999999971e-06
misex3,528,1928/2112,0.912879,1281/2112,0.606534,55,9.45943,3.17697e-09,6.28246e-09,665281,798600,0.009861,0.001486,0.01135,0.01134546,4.5399999999995e-06
pdc,1733,6251/6932,0.901760,4138/6932,0.596942,182,15.2339,3.80109e-09,1.14328e-08,2.63997e+06,2.64264e+06,0.02387,0.003978,0.02785,0.02783329,1.67100000000013e-05
spla,1695,6092/6780,0.898525,4081/6780,0.601917,179,11.5903,4.42521e-09,7.16512e-09,2.63997e+06,2.59908e+06,0.02713,0.005162,0.0323,0.03228385,1.61499999999982e-05
